RNG Hexa,RNG Index,Instant mash ?,Frame 1,Frame 2,Frame 3,Frame 4,Frame 5,Frame 6,Frame 7,Frame 8,Frame 9,Frame 10,Extra Frame 1,,,
df89ee73,070,,,,,,,,,,,,,,,
f102c918,071,,,,,,,,,,,,,,,
ec894039,072,,,,,,,,,,,,,,,
a26452a6,073,,,,,,,,,,,,,,,
752e9cef,074,,,,,,,,,,,,,,,
d13ace64,075,,,,,,,,,,,,,,,
56f65a15,076,,,,,,,,,,,,,,,
7fee33d2,077,,,,,,,,,,,,,,,
be33292b,078,,,,,,,,,,,,,,,
113a2670,079,,,,,,,,,,,,,,,
e5f477b1,080,,,,,,,,,,,,,,,
0688d5be,081,,,,,,,,,,,,,,,
042bcf27,082,,,,,,,,,,,,,,,
5fc0dd3c,083,,,,,,,,,,,,,,,
55e9350d,084,,,,,,,,,,,,,,,
d87e246a,085,,,,,,,,,,,,,,,
e9468ae3,086,,,,,,,,,,,,,,,
ed6dbec8,087,,,,,,,,,,,,,,,
7259ee29,088,,,,,,,,,,,,,,,
1144cbd6,089,,,,,,,,,,,,,,,
1e47185f,090,,,,,,,,,,,,,,,
f38a5714,091,,,,,,,,,,,,,,,
6347bf05,092,,,,,,,,,,,,,,,
e42c3802,093,,,,,,,,,,,,,,,
2e42f39b,094,,,,,,,,,,,,,,,
6596f220,095,,,,,,,,,,,,,,,
f64b83a1,096,,,,,,,,,,,,,,,
93c894ee,097,,,,,,,,,,,,,,,
1c1d5897,098,,,,,,,,,,,,,,,
59969bec,099,,,,,,,,,,,,,,,
ff71d7fd,100,,,,,,,,,,,,,,,
2e1ece9a,101,,,,,,,,,,,,,,,
4dc34353,102,,,,,,,,,,,,,,,
731b2078,103,,,,,,,,,,,,,,,
add71819,104,,,,,,,,,,,,,,,
39909106,105,,,,,,,,,,,,,,,
01276fcf,106,,,,,,,,,,,,,,,
5d110bc4,107,,,,,,,,,,,,,,,
70035ff5,108,,,,,,,,,,,,,,,
3e884832,109,,,,,,,,,,,,,,,
46fe5a0b,110,YES = 0,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,X,,,
1e4ba9d0,111,YES = 0,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,X,,,
c4068b91,112,YES = 0,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,X,,,
d9e5201e,113,YES = 0,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,X,,,
3f3a3e07,114,YES = 0,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,X,,,
d4d1069c,115,YES = 0,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,X,,,
0f5436ed,116,YES = 0,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,X,,,
c42704ca,117,YES = 0,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,X,,,
134717c3,118,YES = 0,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,X,,,
23e5ee28,119,YES = 0,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,X,,,
5a5fbe09,120,YES = 0,Behemoth / IronGiant / GIM47N / GlacialEye,GIM47N / Thrustaevis / Grendel / Jelleye,Jelleye / IronGiant / RubyDragon / Malboro,Buel / Malboro / Creeps / Elnoyle,Belhelmel / Buel / Elnoyle / IronGiant,Grendel / Malboro / TonberryKing / Chimera,IronGiant / Buel / GrandMantis / Elastoid,Elastoid / RubyDragon / Wedge+Biggs / Creeps,Elnoyle / Buel / Grat / Jelleye,IronGiant / RubyDragon / Buel / Chimera,X,,,
f95aa236,121,NO = 75,Grendel / Anacondaur / Behemoth / TonberryKing,Buel / IronGiant / Mesmerize / Behemoth,GIM47N / Malboro / Chimera / Anacondaur,Elnoyle / Buel / Belhelmel / Anacondaur,IronGiant / RubyDragon / Elastoid / Grendel,Elastoid / Buel / GIM47N / GrandMantis,RubyDragon / Thrustaevis / Mesmerize / Jelleye,Grat / Mesmerize / RubyDragon / Belhelmel,Belhelmel / Elnoyle / Creeps / Wedge+Biggs,Creeps / Mesmerize / Grendel / Jelleye,X,,,
ea06a33f,122,YES = 0,Grat / Wedge+Biggs&Creeps / Malboro,Belhelmel / Thrustaevis / Creeps / Chimera,Anacondaur / Wedge+Biggs / TonberryKing / Belhelmel,Wedge+Biggs / Thrustaevis / Jelleye / Creeps,Grat / Wedge+Biggs&Jelleye / Grendel,Malboro / IronGiant / Grat / GlacialEye,Wedge+Biggs / Grat / Buel / GlacialEye,GlacialEye / Malboro / Behemoth / Thrustaevis,Anacondaur / Buel / Mesmerize / Grendel,Jelleye / RubyDragon / GrandMantis / Thrustaevis,X,,,
60d9ec74,123,YES = 0,Malboro / Mesmerize / GrandMantis / GlacialEye,TonberryKing / Elnoyle / Wedge+Biggs / Thrustaevis,Chimera / GlacialEye / Buel / Creeps,Malboro / Elnoyle / Buel / GrandMantis,TonberryKing / GlacialEye / Chimera / Behemoth,Buel / TonberryKing / GlacialEye / Elastoid,Thrustaevis / Belhelmel / Elastoid / Malboro,Grendel / TonberryKing / Elastoid / IronGiant,Buel / Belhelmel / Anacondaur / IronGiant,GIM47N / GrandMantis / Malboro / Chimera,X,,,
8bf83ce5,124,NO = 114,GlacialEye / Elastoid / RubyDragon / Belhelmel,Malboro / Jelleye / Grendel / Anacondaur,TonberryKing / Elastoid / Jelleye / Grendel,Chimera / GrandMantis / TonberryKing / IronGiant,GIM47N / Thrustaevis / GrandMantis / Chimera,TonberryKing / Wedge+Biggs / IronGiant / GIM47N,Mesmerize / Thrustaevis / Buel / RubyDragon,Thrustaevis / IronGiant / Buel / Wedge+Biggs,Jelleye / Thrustaevis / Behemoth / Grat,Buel / IronGiant / GlacialEye / Anacondaur,X,,,
edc56462,125,YES = 0,Chimera / Elastoid / TonberryKing / Elnoyle,Thrustaevis / GrandMantis / Jelleye / IronGiant,Jelleye / GIM47N / Grat / Mesmerize,Buel / GrandMantis / IronGiant / Belhelmel,Thrustaevis / GIM47N / Buel / Creeps,XX,XX,XX,XX,XX,X,,,
d18c5c7b,126,NO = 94,Buel / TonberryKing / Anacondaur / Elnoyle,Belhelmel / GlacialEye / RubyDragon / IronGiant,Creeps / TonberryKing / Chimera / Malboro,Grat / Belhelmel / TonberryKing / Elastoid,TonberryKing / RubyDragon / Grendel / IronGiant,RubyDragon / Belhelmel / GrandMantis / Jelleye,IronGiant / GrandMantis / Buel / Jelleye,GIM47N / Buel / GlacialEye / RubyDragon,Creeps / GrandMantis / Buel / Thrustaevis,GrandMantis / GIM47N / Chimera / Grendel,X,,,
4a934d80,127,NO = 115,IronGiant / Anacondaur / Elastoid / Chimera,Elastoid / Anacondaur / RubyDragon / Elnoyle,Creeps / IronGiant / RubyDragon / Jelleye,GrandMantis / Anacondaur / Grendel / Buel,GlacialEye / Behemoth / TonberryKing / Elastoid,Creeps / GrandMantis / Thrustaevis / IronGiant,GrandMantis / Buel / Wedge+Biggs / Grendel,RubyDragon / Behemoth / GrandMantis / Grat,Malboro / Mesmerize / Buel / Wedge+Biggs,TonberryKing / RubyDragon / Chimera / Belhelmel,X,,,
80648f81,128,NO = 19,IronGiant / Buel / Thrustaevis / GlacialEye,Elastoid / Creeps / Behemoth / GlacialEye,RubyDragon / Chimera / Buel / Anacondaur,GrandMantis / Grendel / Chimera / IronGiant,GlacialEye / Chimera / GrandMantis / RubyDragon,Creeps / Grendel / Elastoid / Chimera,GrandMantis / Elastoid / Elnoyle / Creeps,Grendel / Anacondaur / RubyDragon / Chimera,Malboro / TonberryKing / GIM47N / GlacialEye,TonberryKing / Jelleye / Creeps / IronGiant,X,,,
7b51774e,129,YES = 0,Grendel / Buel / Wedge+Biggs / Elnoyle,Creeps / GlacialEye / Elnoyle / Elastoid,Jelleye / TonberryKing / Anacondaur / Wedge+Biggs,Mesmerize / GlacialEye / GrandMantis / Grendel,Anacondaur / TonberryKing / IronGiant / GrandMantis,TonberryKing / Belhelmel / Grat / GlacialEye,Chimera / TonberryKing / Thrustaevis / Behemoth,Malboro / Belhelmel / Chimera / Grendel,Elnoyle / Wedge+Biggs / GlacialEye / GrandMantis,Behemoth / Thrustaevis / Jelleye / Elnoyle,X,,,
5a997f77,130,NO = 124,Grendel / Anacondaur / Elastoid / Grat,Buel / IronGiant / Belhelmel / GlacialEye,Elastoid / Anacondaur / GIM47N / Thrustaevis,Elnoyle / Behemoth / Anacondaur / Grendel,IronGiant / Creeps / RubyDragon / GrandMantis,Elastoid / Behemoth / RubyDragon / Buel,Elnoyle / Creeps / Grendel / Belhelmel,GrandMantis / Chimera / TonberryKing / Anacondaur,GlacialEye / Elnoyle / GrandMantis / Jelleye,Creeps / Mesmerize / GrandMantis / Grat,X,,,
d7db1d4c,131,YES = 0,Elnoyle / Chimera / Creeps / Malboro,IronGiant / Grendel / Elnoyle / TonberryKing,Elastoid / Chimera / Jelleye / IronGiant,RubyDragon / Grendel / TonberryKing / Chimera,Grat / Wedge+Biggs / GIM47N / Thrustaevis,Belhelmel / Grendel / Grat / RubyDragon,Creeps / Behemoth / Wedge+Biggs / Anacondaur,GrandMantis / Jelleye / Buel / Behemoth,Belhelmel / Creeps / Buel / Wedge+Biggs,Malboro / TonberryKing / GlacialEye / Grat,X,,,
183f51dd,132,YES = 0,Buel / Jelleye / TonberryKing / Elastoid,Elastoid / Belhelmel / Behemoth / IronGiant,Elnoyle / GrandMantis / GIM47N / Malboro,IronGiant / Elastoid / GIM47N / Anacondaur,Elastoid / GrandMantis / Creeps / Grendel,Elnoyle / GIM47N / RubyDragon / GrandMantis,Grat / Grendel / Mesmerize / Elnoyle,Belhelmel / Thrustaevis / Elnoyle / Mesmerize,Creeps / IronGiant / Wedge+Biggs / Jelleye,GrandMantis / Anacondaur / Jelleye / GlacialEye,X,,,
f3b9c6fa,133,NO = 134,Wedge+Biggs / Grendel / Thrustaevis / TonberryKing,Buel / TonberryKing&Grendel / Elastoid,Thrustaevis / Grendel / Wedge+Biggs / GrandMantis,Grendel / GlacialEye / GrandMantis / Mesmerize,Buel / TonberryKing&IronGiant / Belhelmel,Thrustaevis / GlacialEye / Buel / Malboro,Elnoyle / TonberryKing / Mesmerize / Behemoth,IronGiant / Belhelmel / Chimera / Elnoyle,Elastoid / Wedge+Biggs / Belhelmel / Chimera,RubyDragon / Belhelmel / Elastoid / GIM47N,X,,,
61d90833,134,NO = 58,Wedge+Biggs / Malboro / Grat / IronGiant,RubyDragon / Thrustaevis / Creeps / Chimera,IronGiant / Wedge+Biggs / RubyDragon / Elastoid,Thrustaevis / Jelleye / Malboro / Anacondaur,Creeps / IronGiant / Jelleye / TonberryKing,Grat / Anacondaur/  Wedge+Biggs / IronGiant,Mesmerize / IronGiant / GrandMantis / GlacialEye,Anacondaur / Behemoth / GIM47N / Elnoyle,GrandMantis / Behemoth / Creeps / Buel,Chimera / Creeps / Mesmerize / GrandMantis,X,,,
686927d8,135,NO = 56,Grat / Grendel / Creeps / RubyDragon,Mesmerize / Chimera / RubyDragon / TonberryKing,Anacondaur / Elnoyle / Grendel / Chimera,GrandMantis / GlacialEye / TonberryKing / Elastoid,Chimera / Elnoyle / Wedge+Biggs / RubyDragon,Malboro / Mesmerize / GrandMantis / TonberryKing,Wedge+Biggs / Elnoyle / Behemoth / Grat,Behemoth / GlacialEye / Buel / TonberryKing,Thrustaevis / TonberryKing / Mesmerize / Elastoid,Jelleye / GlacialEye / Chimera / Grendel,X,,,
1b12dff9,136,NO = 129,Wedge+Biggs / TonberryKing / Grat / GlacialEye,Mesmerize / Belhelmel / IronGiant / Malboro,Anacondaur / TonberryKing / Behemoth / Elnoyle,Jelleye / Belhelmel / Buel / IronGiant,Buel / GrandMantis / Chimera / Grat,GIM47N / Elastoid / GlacialEye / Anacondaur,Elnoyle / GrandMantis / Elastoid / RubyDragon,Behemoth / GIM47N / TonberryKing / Grendel,GIM47N / Grat / Anacondaur / Behemoth,Creeps / GIM47N / Malboro / Jelleye,X,,,
8375ff66,137,NO = 70,Jelleye / Thrustaevis / GrandMantis / Chimera,Mesmerize / Wedge+Biggs / IronGiant / Grendel,Anacondaur / GIM47N / Buel / GrandMantis,TonberryKing / Grat / Chimera / Behemoth,Chimera / Malboro / Elastoid / Belhelmel,GIM47N / Grat / GlacialEye / Malboro,Elnoyle / Malboro / Elastoid / TonberryKing,Buel / Belhelmel / IronGiant / Grat,Belhelmel / RubyDragon / Malboro / Chimera,Grendel / Buel / Malboro / GIM47N,X,,,
42dbb2af,138,NO = 13,Wedge+Biggs / GrandMantis / Thrustaevis / IronGiant,GlacialEye / GIM47N / Anacondaur / TonberryKing,Creeps / Grat / Malboro / GIM47N,GrandMantis / GIM47N / Creeps / RubyDragon,GlacialEye / Grat / Elnoyle / Wedge+Biggs,RubyDragon / Malboro / Jelleye / Buel,TonberryKing / Buel / Jelleye / Belhelmel,Chimera / Malboro / IronGiant / Anacondaur,Malboro / Buel / Grat / Grendel,Jelleye / RubyDragon / Behemoth / Grat,X,,,
64aff924,139,NO = 130,GIM47N / Jelleye / Wedge+Biggs / GlacialEye,TonberryKing / Belhelmel / Buel / Thrustaevis,Buel / Wedge+Biggs / Behemoth / Grendel,Belhelmel / Thrustaevis / Chimera / Wedge+Biggs,Grendel / Wedge+Biggs / GlacialEye / Behemoth,Buel / Thrustaevis / Elastoid / Grendel,Belhelmel / IronGiant / Malboro / Wedge+Biggs,Elnoyle / Anacondaur / TonberryKing / Jelleye,Wedge+Biggs / IronGiant / Malboro / Belhelmel,Anacondaur / Creeps / Chimera / GrandMantis,X,,,
89b555d5,140,YES = 0,Buel / IronGiant / Creeps / GrandMantis,Thrustaevis / Anacondaur / Elnoyle / Buel,Grendel / Behemoth / Jelleye / Belhelmel,Buel / Anacondaur / TonberryKing / GIM47N,GIM47N / Behemoth / IronGiant / Grendel,Elnoyle / RubyDragon / Grat / GIM47N,Behemoth / Mesmerize / IronGiant / GIM47N,Elastoid / RubyDragon / Buel / Thrustaevis,Creeps / Mesmerize / Buel / GlacialEye,Grat / Elnoyle / TonberryKing / Creeps,X,,,
d1668c92,141,NO = 101,Anacondaur / Malboro / Thrustaevis / Grat,Jelleye / Buel / Malboro / Mesmerize,Mesmerize / Malboro / Creeps / Belhelmel,Anacondaur / Buel / Grendel / RubyDragon,Jelleye / RubyDragon / Elnoyle / TonberryKing,Chimera / Mesmerize / Jelleye / Behemoth,GIM47N / Creeps / Wedge+Biggs / Grendel,Elnoyle / Chimera / IronGiant / GIM47N,Behemoth / Grendel / Grat / Elnoyle,Thrustaevis / Chimera / Wedge+Biggs / Belhelmel,X,,,
70d3faeb,142,NO = 134,RubyDragon / Grendel / IronGiant / Wedge+Biggs,IronGiant / Buel / Chimera / Malboro,Grendel / Buel / Elastoid / Grat,Creeps / Malboro / Belhelmel / Thrustaevis,Grat / TonberryKing / GlacialEye / Mesmerize,GlacialEye / Belhelmel / Elastoid / IronGiant,Anacondaur / TonberryKing / Belhelmel / GlacialEye,Wedge+Biggs / Belhelmel / Anacondaur / Thrustaevis,Chimera / Wedge+Biggs / Malboro / Creeps,Malboro / Belhelmel / Creeps / GrandMantis,X,,,
1868dd30,143,YES = 0,Buel / RubyDragon / Mesmerize / Grat,Thrustaevis / Chimera / Elastoid / Anacondaur,TonberryKing / Grendel / Belhelmel / GIM47N,Behemoth / Chimera / GIM47N / RubyDragon,Elastoid / Grendel / Malboro / Wedge+Biggs,RubyDragon / Creeps / Behemoth / TonberryKing,IronGiant / Grendel / RubyDragon / Thrustaevis,Belhelmel / Jelleye / Malboro / Wedge+Biggs,Creeps / Jelleye / TonberryKing / Elnoyle,Grat / Elastoid / Wedge+Biggs / IronGiant,X,,,
bc648f71,144,YES = 0,Behemoth / Jelleye / IronGiant / Thrustaevis,GIM47N / Elastoid / Buel / Grendel,TonberryKing / Jelleye / Chimera / Wedge+Biggs,Buel / Belhelmel / Mesmerize / Behemoth,Belhelmel / Wedge+Biggs / GlacialEye / Elastoid,Grendel / Thrustaevis / Elastoid / Malboro,Grat / Wedge+Biggs / Thrustaevis / TonberryKing,Belhelmel / Thrustaevis / GIM47N / Behemoth,Elnoyle / IronGiant / Creeps / GIM47N,IronGiant / Thrustaevis / Creeps / Malboro,X,,,
87409a7e,145,NO = 26,GrandMantis / Chimera / GIM47N / Anacondaur,GlacialEye / Grendel / Thrustaevis / Anacondaur,Creeps / Malboro / GrandMantis / Buel,GrandMantis / Jelleye / Creeps / Mesmerize,Elnoyle / Elastoid / GlacialEye / Behemoth,Malboro / Jelleye / Elnoyle / RubyDragon,TonberryKing / Elastoid / GrandMantis / GlacialEye,Chimera / GrandMantis / Wedge+Biggs / IronGiant,Anacondaur / Elastoid / Grat / Belhelmel,Jelleye / GrandMantis / Grat / GIM47N,X,,,
31121ce7,146,NO = 112,GIM47N / RubyDragon / Buel / Malboro,TonberryKing / Mesmerize / Behemoth / RubyDragon,Chimera / RubyDragon / GlacialEye / TonberryKing,GIM47N / Chimera / Buel / Anacondaur,Jelleye / Grendel / Elastoid / GlacialEye,Mesmerize / Chimera / Belhelmel / Anacondaur,Belhelmel / Grendel / Malboro / TonberryKing,Grendel / Anacondaur / GrandMantis / Elastoid,IronGiant / Jelleye / RubyDragon / Mesmerize,Elastoid / Elnoyle / Belhelmel / Thrustaevis,X,,,
53dfdffc,147,NO = 4,Grat / Buel / Malboro / Belhelmel,GlacialEye / RubyDragon / Creeps / Anacondaur,Creeps / Buel / Elnoyle / GrandMantis,Grat / RubyDragon / Grendel / Buel,Mesmerize / GrandMantis / Elastoid / GlacialEye,RubyDragon / Elnoyle / Wedge+Biggs / Malboro,Wedge+Biggs / Mesmerize / Grat / TonberryKing,Chimera / Elnoyle / IronGiant / Jelleye,Anacondaur / Chimera / Thrustaevis / Elastoid,Jelleye / Mesmerize / GIM47N / Wedge+Biggs,X,,,
68a228cd,148,NO = 26,Grendel / Grat / Mesmerize / Jelleye,Buel / Malboro / Chimera / Grat,Belhelmel / Buel / Mesmerize / TonberryKing,Elnoyle / Malboro / Elastoid / Thrustaevis,IronGiant / Buel / GIM47N / RubyDragon,RubyDragon / Anacondaur / Wedge+Biggs / Malboro,RubyDragon / Buel / Behemoth / Mesmerize,IronGiant / Creeps / Malboro / Wedge+Biggs,GlacialEye / Chimera / Elnoyle / Malboro,Creeps / Grendel / TonberryKing / Elnoyle,X,,,
2eba152a,149,NO = 112,Grendel / GrandMantis / Buel / Mesmerize,Grat / Thrustaevis / Chimera / Mesmerize,Belhelmel / IronGiant / Creeps / GIM47N,Creeps / Thrustaevis / Belhelmel / Jelleye,Grat / IronGiant / Elastoid / Buel,Anacondaur / Thrustaevis / GlacialEye / Grat,Malboro / Behemoth / Anacondaur / TonberryKing,Wedge+Biggs / Anacondaur / RubyDragon / Elnoyle,Behemoth / Creeps / Wedge+Biggs / Grendel,Anacondaur / Creeps / TonberryKing / Chimera,X,,,
f34014a3,150,YES = 0,Anacondaur / TonberryKing / Creeps / Wedge+Biggs,Jelleye / GlacialEye / RubyDragon / GIM47N,Mesmerize / TonberryKing / Grendel / Elnoyle,Thrustaevis / GlacialEye / Jelleye / Wedge+Biggs,Grendel / TonberryKing / Wedge+Biggs / Chimera,Behemoth / Belhelmel / GrandMantis / Elastoid,Elastoid / Wedge+Biggs / Behemoth / RubyDragon,Elnoyle / Belhelmel / Buel / TonberryKing,Behemoth / Wedge+Biggs / Mesmerize / Grat,Belhelmel / Thrustaevis / Chimera / GlacialEye,X,,,
1fffcd88,151,NO = 44,Elnoyle / Belhelmel / Chimera / TonberryKing,Behemoth / Wedge+Biggs / Belhelmel / IronGiant,GIM47N / Thrustaevis / Elastoid / Malboro,Elnoyle / IronGiant / GIM47N / GlacialEye,Buel / GIM47N / Anacondaur / RubyDragon,Thrustaevis / Grat / RubyDragon / Wedge+Biggs,Creeps / Malboro / Buel / Wedge+Biggs,Grat / Buel / Grendel / Belhelmel,Malboro / TonberryKing / Anacondaur / RubyDragon,RubyDragon / Buel / GrandMantis / Grendel,X,,,
6acf7de9,152,NO = 61,Chimera / Elnoyle / Creeps / TonberryKing,Malboro / GlacialEye / Jelleye / GIM47N,Wedge+Biggs / TonberryKing / Elastoid / Buel,Chimera / GlacialEye / GIM47N / Malboro,Thrustaevis / TonberryKing / Anacondaur / IronGiant,Jelleye / Belhelmel / Malboro / Grendel,Buel / Wedge+Biggs / Creeps / GrandMantis,Thrustaevis / Elastoid / Grendel / Chimera,TonberryKing / GrandMantis / Elnoyle / Elastoid,Behemoth / GIM47N / GrandMantis / RubyDragon,X,,,
8f75a896,153,YES = 0,Malboro / Creeps / RubyDragon / IronGiant,Wedge+Biggs / Behemoth / Creeps / Jelleye,Chimera / Anacondaur / TonberryKing / Thrustaevis,Thrustaevis / Behemoth / TonberryKing / Grendel,Jelleye / Creeps / GrandMantis / Anacondaur,Buel / Behemoth / IronGiant / Elnoyle,Thrustaevis / RubyDragon / Buel / Belhelmel,TonberryKing / Mesmerize / Buel / Anacondaur,Behemoth / Elnoyle / Jelleye / Grendel,GIM47N / Mesmerize / GlacialEye / Grat,X,,,
835d9e1f,154,NO = 38,Chimera / Behemoth / Thrustaevis / Creeps,Anacondaur / Creeps / Jelleye / Buel,Jelleye / Behemoth / RubyDragon / Buel,Buel / Creeps / Grendel / GlacialEye,Thrustaevis / Chimera / Elnoyle / GIM47N,TonberryKing / Creeps / GrandMantis / Elnoyle,Behemoth / Chimera / GrandMantis / Wedge+Biggs,GIM47N / Grendel / IronGiant / Chimera,TonberryKing / Buel / Elastoid / Creeps,IronGiant / Grendel / Chimera / Malboro,X,,,
911e31d4,155,NO = 65,Mesmerize / GrandMantis / Elastoid / Thrustaevis,Anacondaur / Thrustaevis / GlacialEye / Malboro,Wedge+Biggs / IronGiant / Thrustaevis / TonberryKing,Chimera / Thrustaevis / GIM47N / IronGiant,Malboro / IronGiant / Anacondaur / Creeps,Wedge+Biggs / Anacondaur / Malboro / GIM47N,Mesmerize / Wedge+Biggs / Elnoyle / RubyDragon,Thrustaevis / Grendel / Wedge+Biggs / GlacialEye,Jelleye / IronGiant / TonberryKing / Behemoth,Buel / Anacondaur / GrandMantis / Belhelmel,X,,,
ef89aac5,156,NO = 37,Buel / GIM47N / Thrustaevis / Belhelmel,Elastoid / Grat / Anacondaur / Buel,Elnoyle / Malboro / RubyDragon / TonberryKing,Behemoth / Grat / Creeps / IronGiant,Elastoid / Malboro / TonberryKing / Creeps,Creeps / Buel / Jelleye / Malboro,Grat / Malboro / GrandMantis / Elnoyle,GlacialEye / Behemoth / Wedge+Biggs / IronGiant,Creeps / Buel / Chimera / Jelleye,IronGiant / Chimera / Behemoth / Elastoid,X,,,
79aec0c2,157,NO = 108,Anacondaur / Mesmerize / Elastoid / Wedge+Biggs,TonberryKing / RubyDragon / GIM47N / Anacondaur,Behemoth / Mesmerize / Thrustaevis / Jelleye,GIM47N / Elnoyle / RubyDragon / Grat,Elnoyle / Chimera / Creeps / GlacialEye,Buel / Grendel / Elnoyle / Thrustaevis,Thrustaevis / TonberryKing / Creeps / Mesmerize,Grendel / Jelleye / GrandMantis / Grat,Buel / Wedge+Biggs / GlacialEye / GrandMantis,Belhelmel / Jelleye / Grat / TonberryKing,X,,,
117c355b,158,NO = 59,Grat / GrandMantis / IronGiant / Creeps,Belhelmel / GIM47N / Grat / Chimera,RubyDragon / Grat / Chimera / GIM47N,IronGiant / GIM47N / Mesmerize / RubyDragon,Grat / GlacialEye / TonberryKing / RubyDragon,Malboro / Anacondaur / Elastoid / Behemoth,GrandMantis / Behemoth / Thrustaevis / Wedge+Biggs,GlacialEye / Anacondaur / GIM47N / Malboro,Anacondaur / Behemoth / Malboro / Elnoyle,GrandMantis / Creeps / IronGiant / Malboro,X,,,
